id,title,artist,genre,whitespace_genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Midnight Coding,LoRoom,lofi,lofi,chill,0.42,76,0.55,0.61,0.85
2,Library Rain,Paper Lanterns,lofi,lofi,chill,0.43,76,0.58,0.61,0.88
3,Focus Flow,LoRoom,lofi,lofi,chill,0.40,73,0.50,0.60,0.90
4,Gods Plan,Drake,hip-hop,hip-hop,energetic,0.86,96,0.60,0.78,0.15
5,First Class,Jack Harlow,hip-hop,hip-hop,energetic,0.82,93,0.65,0.75,0.20
6,Industry Baby,Lil Nas X,hip-hop,hip-hop,energetic,0.83,150,0.70,0.80,0.05
7,Neon Horizon,Laserhawk,synthwave,synthwave,intense,0.91,131,0.75,0.75,0.10
8,Turbo Drive,CyberCorp,synthwave,synthwave,intense,0.88,128,0.72,0.74,0.12
9,Stardust,Vector Prime,synthwave,synthwave,intense,0.89,129,0.70,0.75,0.15
10,Chill Hop Loop,LoRoom,lofi,lofi,chill,0.35,70,0.45,0.55,0.92
11,Coffee Shop Vibes,Paper Lanterns,lofi,lofi,chill,0.38,72,0.48,0.58,0.89
12,Rap Anthem,Test Artist,hip-hop,hip-hop,energetic,0.80,90,0.62,0.70,0.10
13,Techno Core,CyberCorp,synthwave,synthwave,intense,0.95,140,0.80,0.70,0.02
14,Lofi Dreams,LoRoom,lofi,lofi,chill,0.39,74,0.51,0.59,0.87
15,Retro Wave,Vector Prime,synthwave,synthwave,intense,0.85,125,0.68,0.72,0.18